[2022-09-09 14:46:20,915: INFO/MainProcess] beat: Starting...
[2022-09-09 14:46:21,495: INFO/MainProcess] DatabaseScheduler: Schedule changed.
[2022-09-09 14:46:21,527: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 14:47:00,015: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 14:48:00,010: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 14:49:00,010: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 14:50:00,013: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 14:51:00,001: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 14:52:00,005: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 14:53:00,024: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 15:22:26,593: INFO/MainProcess] beat: Starting...
[2022-09-09 15:22:27,388: INFO/MainProcess] DatabaseScheduler: Schedule changed.
[2022-09-09 15:22:27,593: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 15:22:37,382: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:22:47,384: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:22:57,409: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:23:00,027: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 15:23:07,410: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:23:17,412: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:23:27,423: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:23:37,438: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:23:47,440: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:23:57,441: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:24:00,001: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 15:24:07,451: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:24:17,452: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:24:27,453: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:24:37,456: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:24:47,460: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:24:57,476: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:25:00,005: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 15:25:07,486: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:25:17,494: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:25:27,494: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:25:37,531: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:25:47,545: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:25:57,561: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
[2022-09-09 15:26:00,001: INFO/MainProcess] Scheduler: Sending due task coin_15_sec (api.tasks.get_list_coin_celery_demo)
[2022-09-09 15:26:07,561: INFO/MainProcess] Scheduler: Sending due task print-message-ten-seconds (print_msg_main)
